target,amount,is_alliance,voting_pool_override,platform
0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,782.3993,False,,
0x1CCE9d493224A19FcB5f7fBade8478630141CB54,600.3014,True,aura,
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,3426.8346,False,,
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,614.6236,False,,
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,4674.1497,False,,
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,797.0879,False,,
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,4309.532068983365507545655411,,,payment
0xea06e1b4259730724885a39CE3ca670eFB020E26,0.0000,,,beets
