chain,total_fees_collected,total_fees_earned_twap,noncore_fees,noncore_to_dao,noncore_to_vebal,noncore_to_beets,dao_share_pct,vebal_share_pct,beets_share_pct
mainnet,11398.7216,7999.5444,2285.9630,400.0435,1885.9195,0.0000,17.50,82.50,0.00
avalanche,607.4053,0,607.4053,106.2959,501.1094,0.0000,17.50,82.50,0.00
gnosis,826.3976,284.6967,541.7008,94.7976,446.9032,0.0000,17.50,82.50,0.00
arbitrum,7138.6729,6677.3567,366.6186,64.1583,302.4604,0.0000,17.50,82.50,0.00
base,4402.5095,1138.6970,3164.7012,553.8227,2610.8785,0.0000,17.50,82.50,0.00
