FILENAME: `MaxiOps/ManualFeeSweeps/omni_fee_cleanup/payloads/ethereum-erc20-sweep.json`
MULTISIG: `multisigs/omni (mainnet:0x9ff471F9f98F42E5151C7855fD1b5aa906b1AF7e)`
COMMIT: `3b05ea9f8e124a0a9c9be9da1e2cdd3fec2c8290`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/b1585317-cd77-40f9-9503-8f1fc6b1092c)

```
+----------+------------------------------------------------------+-------------------------------------------------------------------+---------------------------------------------------+-----+----------+
| function | token_symbol                                         | recipient                                                         | amount                                            | bip | tx_index |
+----------+------------------------------------------------------+-------------------------------------------------------------------+---------------------------------------------------+-----+----------+
| transfer | LINK:0x514910771AF9Ca656af840dff83E8264EcF986CA      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 83.63721529394371 (RAW: 83637215293943707600)     | N/A |    0     |
| transfer | PNKSTR:0xc50673EDb3A7b94E8CAD8a7d4E0cD68864E33eDF    | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 18401.501020373336 (RAW: 18401501020373338129609) | N/A |    1     |
| transfer | WETH:0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 0.02646668481822961 (RAW: 26466684818229609)      | N/A |    2     |
| transfer | wstETH:0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0    | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 0.001561563907850471 (RAW: 1561563907850471)      | N/A |    3     |
| transfer | rETH:0xae78736Cd615f374D3085123A210448E74Fc6393      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 0.001492462311557788 (RAW: 1492462311557788)      | N/A |    4     |
| transfer | tETH:0xD11c452fc99cF405034ee446803b6F6c1F6d5ED8      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 2.7613689964636e-05 (RAW: 27613689964636)         | N/A |    5     |
| transfer | KPER:0xc89B4a8a121Dd3E726fE7515e703936cF83e3350      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 1789.04 (RAW: 1789040000000000000000)             | N/A |    6     |
| transfer | MORPHO:0x58D97B57BB95320F9a05dC918Aef65434969c2B2    | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 0.000581148768591139 (RAW: 581148768591139)       | N/A |    7     |
| transfer | HEX:0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39       | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 1.0 (RAW: 100000000)                              | N/A |    8     |
| transfer | YFED:0x2DBd330bC9B7f3A822a9173aB52172BdDDcAcE2A      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 1e-06 (RAW: 100)                                  | N/A |    9     |
| transfer | FAM:0x9D24364b97270961b2948734aFe8d58832Efd43a       | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 3e-09 (RAW: 3000000000)                           | N/A |    10    |
| transfer | AAVE:0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9      | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 3.252e-15 (RAW: 3252)                             | N/A |    11    |
| transfer | GHO:0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f       | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 9.4195e-14 (RAW: 94195)                           | N/A |    12    |
| transfer | RLP:0x4956b52aE2fF65D74CA2d61207523288e4528f96       | EOA/keepers/v3_fee_bot:0x74E283B985EA76c55C8B48d6bD1067a418188424 | 1.2069e-14 (RAW: 12069)                           | N/A |    13    |
