pool_id,chain,alliance_member,amount,target,pool_type
0x5418a64e0cdb20548ACB394f5D00a089BAf02161,arbitrum,Rocket Pool,12.96182428960230757936449093,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0xB7B8B3AfC010169779C5C2385ec0eB0477FE3347,base,Rocket Pool,13.07705402113934717538190520,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0x1ea5870f7C037930CE1d5d8d9317c670e89e13E3,mainnet,Rocket Pool,84.33756800672335895441520298,0xb867EA3bBC909954d737019FEf5AB25dFDb38CB9,non-core
0x6b31a94029fd7840d780191b6d63fa0d269bd883,mainnet,Lido,86.11985964114992351272095373,0x87D93d9B2C672bf9c9642d853a8682546a5012B5,core
